site,kind,ym,vh
R13,damaged,2026-02,-16.418685913085938
R13,intact,2026-02,-16.020164489746094
R13,damaged,2026-03,-15.786857604980469
R13,intact,2026-03,-15.222837448120117
R13,damaged,2026-04,-15.79705810546875
R13,intact,2026-04,-14.989534378051758
R13,damaged,2026-05,-16.08091926574707
R13,intact,2026-05,-15.232474327087402
R13,damaged,2026-06,-16.02706527709961
R13,intact,2026-06,-15.22582721710205
R13,damaged,2026-07,-16.134977340698242
R13,intact,2026-07,-15.406785011291504
R13,damaged,2026-08,-15.828391075134277
R13,intact,2026-08,-15.181119918823242
R13,damaged,2026-09,-16.078887939453125
R13,intact,2026-09,-15.45964527130127
